Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_T,sd_mag_z_T,mean_acc_ms2,sd_acc_ms2,max_acc_ms2,flow_state,is_attached,lost_frames
2025-11-17 18:00:53.803,EC:69:0B:19:32:8E,39,-76,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9C 1C 00 00 0A 00 26 01 07 0E 63 00 00 00 00 00 00 00 00 00,7324,10,2.94,3591,99,0,0,0,3.591,0.099,0.0,0.0,0.0,3591,True,0
2025-11-17 18:00:54.801,EC:69:0B:19:32:8E,40,-82,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9D 1C 00 00 0A 00 26 01 25 0E 5D 00 00 00 00 00 00 00 00 00,7325,10,2.94,3621,93,0,0,0,3.621,0.093,0.0,0.0,0.0,3621,True,0
2025-11-17 18:00:55.803,EC:69:0B:19:32:8E,41,-88,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9E 1C 00 00 0A 00 26 01 7B 0E 5C 00 00 00 00 00 00 00 00 00,7326,10,2.94,3707,92,0,0,0,3.707,0.092,0.0,0.0,0.0,3707,True,0
2025-11-17 18:00:58.815,EC:69:0B:19:32:8E,42,-76,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A1 1C 00 00 0A 00 26 01 21 0D 3C 01 00 00 00 00 00 00 00 00,7329,10,2.94,3361,316,0,0,0,3.361,0.316,0.0,0.0,0.0,3361,True,2
2025-11-17 18:00:59.820,EC:69:0B:19:32:8E,43,-74,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A2 1C 00 00 0A 00 26 01 17 0F 38 00 00 00 00 00 00 00 00 00,7330,10,2.94,3863,56,0,0,0,3.863,0.056,0.0,0.0,0.0,3863,True,0
2025-11-17 18:01:00.839,EC:69:0B:19:32:8E,44,-77,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A3 1C 00 00 0A 00 26 01 3C 0F 2C 00 00 00 00 00 00 00 00 00,7331,10,2.94,3900,44,0,0,0,3.9,0.044,0.0,0.0,0.0,3900,True,0
2025-11-17 18:01:03.846,EC:69:0B:19:32:8E,45,-72,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A6 1C 00 00 0A 00 26 01 2C 0F 09 00 00 00 00 00 00 00 00 00,7334,10,2.94,3884,9,0,0,0,3.884,0.009,0.0,0.0,0.0,3884,True,2
2025-11-17 18:01:04.854,EC:69:0B:19:32:8E,46,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A7 1C 00 00 0A 00 26 01 DD 0D F3 00 00 00 00 00 00 00 00 00,7335,10,2.94,3549,243,0,0,0,3.549,0.243,0.0,0.0,0.0,3549,True,0
2025-11-17 18:01:05.852,EC:69:0B:19:32:8E,47,-78,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A8 1C 00 00 0A 00 26 01 32 0E D2 00 00 00 00 00 00 00 00 00,7336,10,2.94,3634,210,0,0,0,3.634,0.21,0.0,0.0,0.0,3634,True,0
2025-11-17 18:01:06.873,EC:69:0B:19:32:8E,48,-76,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A9 1C 00 00 0A 00 27 01 6F 0E D2 00 00 00 00 00 00 00 00 00,7337,10,2.95,3695,210,0,0,0,3.695,0.21,0.0,0.0,0.0,3695,True,0
2025-11-17 18:01:09.869,EC:69:0B:19:32:8E,49,-71,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AC 1C 00 00 0A 00 26 01 16 0E 71 00 00 00 00 00 00 00 00 00,7340,10,2.94,3606,113,0,0,0,3.606,0.113,0.0,0.0,0.0,3606,True,2
