Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data
2025-11-17 18:00:52.785,EC:69:0B:19:32:8E,38,-69,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9B 1C 00 00 0A 00 27 01 7F 0E 41 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:53.803,EC:69:0B:19:32:8E,39,-76,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9C 1C 00 00 0A 00 26 01 07 0E 63 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:54.801,EC:69:0B:19:32:8E,40,-82,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9D 1C 00 00 0A 00 26 01 25 0E 5D 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:55.803,EC:69:0B:19:32:8E,41,-88,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9E 1C 00 00 0A 00 26 01 7B 0E 5C 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:58.815,EC:69:0B:19:32:8E,42,-76,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A1 1C 00 00 0A 00 26 01 21 0D 3C 01 00 00 00 00 00 00 00 00"
2025-11-17 18:00:59.820,EC:69:0B:19:32:8E,43,-74,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A2 1C 00 00 0A 00 26 01 17 0F 38 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:00.839,EC:69:0B:19:32:8E,44,-77,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A3 1C 00 00 0A 00 26 01 3C 0F 2C 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:03.846,EC:69:0B:19:32:8E,45,-72,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A6 1C 00 00 0A 00 26 01 2C 0F 09 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:04.854,EC:69:0B:19:32:8E,46,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A7 1C 00 00 0A 00 26 01 DD 0D F3 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:05.852,EC:69:0B:19:32:8E,47,-78,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A8 1C 00 00 0A 00 26 01 32 0E D2 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:06.873,EC:69:0B:19:32:8E,48,-76,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A9 1C 00 00 0A 00 27 01 6F 0E D2 00 00 00 00 00 00 00 00 00"
